Oblast,shapefile_name
Cherkas'ka oblast,Cherkasy
Chernihivs'ka oblast,Chernihiv
Chernivets'ka oblast,Chernivtsi
Crimea,Crimea
Dnipropetrovsk Oblast,Dnipropetrovs'k
Donetsk Oblast,Donets'k
Ivano-Frankivs'ka oblast,Ivano-Frankivs'k
Kharkiv Oblast,Kharkiv
Khersons'ka oblast,Kherson
Khmel'nyts'ka oblast,Khmel'nyts'kyy
Kirovohrads'ka oblast,Kirovohrad
Kyiv city,Kiev City
Kyivs'ka oblast,Kiev
Luhans'ka oblast,Luhans'k
Lviv Oblast,L'viv
Mykolaivs'ka oblast,Mykolayiv
Odessa Oblast,Odessa
Poltavs'ka oblast,Poltava
Rivnens'ka oblast,Rivne
Sevastopol' city,Sevastopol'
Sums'ka oblast,Sumy
Ternopil's'ka oblast,Ternopil'
Vinnyts'ka oblast,Vinnytsya
Volyns'ka oblast,Volyn
Zakarpats'ka oblast,Zakarpattia
Zaporiz'ka oblast,Zaporizhia
Zhytomyrs'ka oblast,Zhytomyr
