country,rank,timestamp,total.total,month,timeRange.start,timeRange.end
RU,1,1483228800000,722235000,2017-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-02-01T00:00:00.000Z
UA,2,1483228800000,131661000,2017-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-02-01T00:00:00.000Z
BY,3,1483228800000,40271000,2017-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-02-01T00:00:00.000Z
KZ,4,1483228800000,36612000,2017-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-02-01T00:00:00.000Z
US,5,1483228800000,15981000,2017-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-02-01T00:00:00.000Z
DE,6,1483228800000,15226000,2017-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-02-01T00:00:00.000Z
CN,7,1483228800000,7078000,2017-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-02-01T00:00:00.000Z
FR,8,1483228800000,6045000,2017-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-02-01T00:00:00.000Z
UZ,9,1483228800000,5734000,2017-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-02-01T00:00:00.000Z
IL,10,1483228800000,5680000,2017-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-02-01T00:00:00.000Z
PL,11,1483228800000,5657000,2017-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-02-01T00:00:00.000Z
MD,12,1483228800000,5503000,2017-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-02-01T00:00:00.000Z
AZ,13,1483228800000,5456000,2017-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-02-01T00:00:00.000Z
KG,14,1483228800000,5403000,2017-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-02-01T00:00:00.000Z
LV,15,1483228800000,5121000,2017-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-02-01T00:00:00.000Z
