country,rank,timestamp,total.total,month,timeRange.start,timeRange.end
UA,1,1743465600000,58912000,2025-04-01T00:00:00.000Z,2025-04-01T00:00:00.000Z,2025-05-01T00:00:00.000Z
PL,2,1743465600000,2427000,2025-04-01T00:00:00.000Z,2025-04-01T00:00:00.000Z,2025-05-01T00:00:00.000Z
DE,3,1743465600000,1996000,2025-04-01T00:00:00.000Z,2025-04-01T00:00:00.000Z,2025-05-01T00:00:00.000Z
US,4,1743465600000,1594000,2025-04-01T00:00:00.000Z,2025-04-01T00:00:00.000Z,2025-05-01T00:00:00.000Z
BR,5,1743465600000,667000,2025-04-01T00:00:00.000Z,2025-04-01T00:00:00.000Z,2025-05-01T00:00:00.000Z
CZ,6,1743465600000,659000,2025-04-01T00:00:00.000Z,2025-04-01T00:00:00.000Z,2025-05-01T00:00:00.000Z
SG,7,1743465600000,652000,2025-04-01T00:00:00.000Z,2025-04-01T00:00:00.000Z,2025-05-01T00:00:00.000Z
AT,8,1743465600000,567000,2025-04-01T00:00:00.000Z,2025-04-01T00:00:00.000Z,2025-05-01T00:00:00.000Z
CA,9,1743465600000,525000,2025-04-01T00:00:00.000Z,2025-04-01T00:00:00.000Z,2025-05-01T00:00:00.000Z
GB,10,1743465600000,492000,2025-04-01T00:00:00.000Z,2025-04-01T00:00:00.000Z,2025-05-01T00:00:00.000Z
NL,11,1743465600000,466000,2025-04-01T00:00:00.000Z,2025-04-01T00:00:00.000Z,2025-05-01T00:00:00.000Z
FR,12,1743465600000,415000,2025-04-01T00:00:00.000Z,2025-04-01T00:00:00.000Z,2025-05-01T00:00:00.000Z
IT,13,1743465600000,355000,2025-04-01T00:00:00.000Z,2025-04-01T00:00:00.000Z,2025-05-01T00:00:00.000Z
ES,14,1743465600000,304000,2025-04-01T00:00:00.000Z,2025-04-01T00:00:00.000Z,2025-05-01T00:00:00.000Z
SK,15,1743465600000,241000,2025-04-01T00:00:00.000Z,2025-04-01T00:00:00.000Z,2025-05-01T00:00:00.000Z
CH,16,1743465600000,144000,2025-04-01T00:00:00.000Z,2025-04-01T00:00:00.000Z,2025-05-01T00:00:00.000Z
SE,17,1743465600000,138000,2025-04-01T00:00:00.000Z,2025-04-01T00:00:00.000Z,2025-05-01T00:00:00.000Z
NO,18,1743465600000,137000,2025-04-01T00:00:00.000Z,2025-04-01T00:00:00.000Z,2025-05-01T00:00:00.000Z
HK,19,1743465600000,129000,2025-04-01T00:00:00.000Z,2025-04-01T00:00:00.000Z,2025-05-01T00:00:00.000Z
BE,20,1743465600000,127000,2025-04-01T00:00:00.000Z,2025-04-01T00:00:00.000Z,2025-05-01T00:00:00.000Z
RO,21,1743465600000,125000,2025-04-01T00:00:00.000Z,2025-04-01T00:00:00.000Z,2025-05-01T00:00:00.000Z
FI,22,1743465600000,122000,2025-04-01T00:00:00.000Z,2025-04-01T00:00:00.000Z,2025-05-01T00:00:00.000Z
