country,rank,timestamp,total.total,month,timeRange.start,timeRange.end
UA,1,1609459200000,66284000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
RU,2,1609459200000,1527000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
US,3,1609459200000,1155000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
PL,4,1609459200000,1013000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
DE,5,1609459200000,600000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
CZ,6,1609459200000,408000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
FR,7,1609459200000,257000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
--,8,1609459200000,239000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
GB,9,1609459200000,229000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
IT,10,1609459200000,228000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
CA,11,1609459200000,201000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
TW,12,1609459200000,178000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
NL,13,1609459200000,178000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
HK,14,1609459200000,148000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
ES,15,1609459200000,144000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
RO,16,1609459200000,90000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
SK,17,1609459200000,87000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
BY,18,1609459200000,74000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
ID,19,1609459200000,70000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
SG,20,1609459200000,70000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
SE,21,1609459200000,66000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
IL,22,1609459200000,62000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
HU,23,1609459200000,60000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
BR,24,1609459200000,58000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
MY,25,1609459200000,56000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
TR,26,1609459200000,53000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
JP,27,1609459200000,50000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
MX,28,1609459200000,49000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
AT,29,1609459200000,47000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
PT,30,1609459200000,43000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
AU,31,1609459200000,40000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
PH,32,1609459200000,40000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
IN,33,1609459200000,40000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
KR,34,1609459200000,40000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
FI,35,1609459200000,36000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
BG,36,1609459200000,33000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
DK,37,1609459200000,33000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
CH,38,1609459200000,32000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
EG,39,1609459200000,31000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
KZ,40,1609459200000,31000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
IE,41,1609459200000,30000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
MD,42,1609459200000,29000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
NO,43,1609459200000,27000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
LT,44,1609459200000,26000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
VN,45,1609459200000,25000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
BE,46,1609459200000,25000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
EE,47,1609459200000,24000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
GR,48,1609459200000,22000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
LV,49,1609459200000,20000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
RS,50,1609459200000,19000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
DZ,51,1609459200000,18000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
AE,52,1609459200000,15000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
TH,53,1609459200000,14000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
GE,54,1609459200000,13000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
PE,55,1609459200000,11000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
AZ,56,1609459200000,11000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
HR,57,1609459200000,11000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
AR,58,1609459200000,10000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
BD,59,1609459200000,9000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
NZ,60,1609459200000,9000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
PK,61,1609459200000,9000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
ZA,62,1609459200000,8000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
MO,63,1609459200000,8000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
CO,64,1609459200000,8000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
MA,65,1609459200000,7000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
UZ,66,1609459200000,7000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
IR,67,1609459200000,7000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
AM,68,1609459200000,7000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
SI,69,1609459200000,6000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
CL,70,1609459200000,6000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
LU,71,1609459200000,6000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
CY,72,1609459200000,5000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
DO,73,1609459200000,5000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
MV,74,1609459200000,5000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
MK,75,1609459200000,5000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
BA,76,1609459200000,5000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
ME,77,1609459200000,5000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
SA,78,1609459200000,4000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
KG,79,1609459200000,4000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
MM,80,1609459200000,4000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
VE,81,1609459200000,4000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
JO,82,1609459200000,4000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
KH,83,1609459200000,4000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
AL,84,1609459200000,3000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
TN,85,1609459200000,3000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
TZ,86,1609459200000,3000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
NG,87,1609459200000,3000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
KE,88,1609459200000,3000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
LK,89,1609459200000,3000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
NP,90,1609459200000,3000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
QA,91,1609459200000,3000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
IQ,92,1609459200000,3000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
IS,93,1609459200000,3000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
GI,94,1609459200000,3000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
MT,95,1609459200000,2000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
EC,96,1609459200000,2000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
ET,97,1609459200000,2000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
TJ,98,1609459200000,2000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
LB,99,1609459200000,2000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
AO,100,1609459200000,2000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
MN,101,1609459200000,2000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
SC,102,1609459200000,2000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
BJ,103,1609459200000,2000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
TM,104,1609459200000,2000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
LY,105,1609459200000,2000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
CN,106,1609459200000,2000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
SV,107,1609459200000,2000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
CD,108,1609459200000,2000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
CR,109,1609459200000,2000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
PA,110,1609459200000,2000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
XK,111,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
GQ,112,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
TL,113,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
ER,114,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
GM,115,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
OM,116,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
SN,117,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
GH,118,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
AF,119,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
SB,120,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
TT,121,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
PG,122,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
CI,123,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
TG,124,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
BB,125,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
ZW,126,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
BW,127,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
SM,128,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
MC,129,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
MG,130,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
HN,131,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
JM,132,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
PS,133,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
GU,134,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
PY,135,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
LA,136,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
SY,137,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
BZ,138,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
NI,139,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
BO,140,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
SO,141,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
BH,142,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
BN,143,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
SD,144,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
RW,145,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
PR,146,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
YE,147,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
ML,148,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
LI,149,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
UG,150,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
MP,151,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
MZ,152,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
ZM,153,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
MU,154,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
SR,155,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
NE,156,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
IM,157,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
BF,158,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
GP,159,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
AD,160,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
CM,161,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
GF,162,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
HT,163,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
KW,164,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
SS,165,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
MQ,166,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
NA,167,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
NC,168,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
SL,169,1609459200000,1000,2021-01-01T00:00:00.000Z,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
